ID,question,maxrating
7053b6e7-2fcb-4f46-b18c-ea351503dd8a,Change your Discord profile picture to an embarrassing photo of yourself for 24 hours.,10
c317af96-67f8-4a17-8034-7829799e9cac,Send a voice message to this Discord server singing your favorite song.,8
a2705f6a-3fd3-4bf6-af26-295e4dc019d2,Post a screenshot of your most recent DMs (with sensitive info blurred out) in this channel.,12
17197dcf-ac42-4e42-ad69-87e5c0fd41a7,Go to a public Discord server and use only emoji to communicate for the next 10 messages.,7
51cb1679-a5c3-4405-8163-796a44f64916,Start a debate in a Discord channel about whether cereal is a soup.,9
6e9dd6d6-c3fb-40ea-9327-6c1535c71f8c,"Create a new Discord server with the theme ""Things I'm Bad At"" and invite 5 friends to it.",11
0d479ab1-c89b-4460-8b23-b58b3c0f483c,Send a friend request to the 10th person on your Discord friend list and start a conversation.,8
ea8ef0f9-4af9-452e-bd03-9f7198000b37,"Change your Discord status to ""I love [insert least favorite food]"" for the next hour.",6
0e2bf587-0ea5-4174-957b-98fc00682c99,Join a random public Discord server and compliment the first person who sends a message.,10
12f58409-1144-4a4a-8a41-092ae7a89c07,Use Discord's Go Live feature to stream yourself doing a silly dance for 1 minute.,13
390f49af-08b1-4ee0-b66b-4be7afcd43ea,Send a flirty Discord message to the last person you DMed.,16
6044b51a-cac5-410f-998c-e77e18d828c7,Take a mildly suggestive selfie and make it your Discord banner for an hour.,18
a0931230-951e-47b9-bed1-c3c9a472b14f,Do your best impression of a chicken for 30 seconds.,1
91b2f832-995d-46cc-9f24-91294932fca2,Sing the alphabet backward.,1
de4ec20c-0214-463c-8585-f8ee28861b56,Draw a picture with your eyes closed and share it.,1
30fdda91-1dfc-4b0b-a72f-54367f6164ee,Tell a joke to the group.,1
5427e478-54aa-4e10-be9a-7d2baeb87eb5,Do 10 jumping jacks.,1
32d010e3-9f6d-4a33-a3b9-3461caedbf61,Make a funny face and hold it for 30 seconds.,1
57641d59-6e47-4c76-81be-eb4361675aa7,Speak in a fake accent for the next 5 minutes.,1
6fab3dc7-da9c-4473-a155-5df53834d696,Try to lick your elbow.,1
c2ee8e66-6874-44fa-97d9-85130634ce73,Spin around 10 times and try to walk in a straight line.,1
00a327b8-7c9b-4d44-904d-73c345876d23,Recite the pledge of allegiance while patting your head and rubbing your stomach.,1
b74d70ca-9ee2-452e-9fb4-79a8e74a523e,Do your best robot dance.,1
1dae29f7-06a4-42b6-8d10-52a8c3273c06,Try to whistle with a mouthful of crackers.,1
f0b342e7-58d2-4bd1-b4ae-adb8fff29dc0,Make up a short song about the person to your left.,1
3c068114-17db-41b3-bd12-24e7b64e6d73,Balance a spoon on your nose for 30 seconds.,1
ec2d06e3-ca80-4933-a6c8-f0109290c708,Wear your clothes backward for the next 15 minutes.,6
943ba21f-b83a-4021-b9f7-26303738995f,Text your crush 'I love pineapple on pizza' (even if you don't).,6
217cef90-1c4b-490b-b6b8-b1bc33d139c2,Post an unflattering selfie on your social media.,6
64070426-1f2b-4d7d-bff1-b9b8da5bd5ec,Call a friend and have a conversation using only song lyrics.,6
5c13d63e-5b97-4f5f-8bb4-1c662cdfab14,Wear socks on your hands for the next 10 minutes.,6
7fea604c-31d3-4f9a-8550-638e7bfc367e,Do your best impression of a celebrity.,6
d5292814-5d07-4eac-8b47-0c502d2144d3,Eat a spoonful of mustard.,6
1a16c7cc-a6d5-42a7-b98f-ea474d122d87,Let another player style your hair however they want.,6
